epoch,loss
1,0.710550
2,0.449927
3,0.361147
4,0.297097
5,0.240896
6,0.220072
7,0.157373
8,0.112373
9,0.091279
10,0.088799
11,0.070372
12,0.064530
13,0.062638
14,0.064615
15,0.059267
16,0.055568
17,0.055378
18,0.057569
19,0.053251
20,0.056793
21,0.051586
22,0.048226
23,0.046006
24,0.048252
25,0.047586
26,0.046306
27,0.044950
28,0.047877
29,0.046360
30,0.044229
31,0.044334
32,0.044696
33,0.047820
34,0.046766
35,0.042343
36,0.042434
37,0.047602
38,0.046579
39,0.041554
40,0.041719
41,0.039954
42,0.039240
43,0.040194
44,0.039907
45,0.040537
46,0.039002
47,0.038110
48,0.038136
49,0.037977
50,0.040704
